Order in file, Clean Question, Tagged Elements, Full Question
"1","Who left Joplin on October 26, 1861?","[]","1. Who left Joplin on October 26, 1861?"
"2","What did the Pony Express riders do?","[]","2. What did the Pony Express riders do?"
"3","When did the Pony Express start?","[]","3.  When did the Pony Express start?"
"4","Where did the riders stop for a rest?","[]","4.  Where did the riders stop for a rest?"
"5","Why did the Pony Express end?","[]","5.  Why did the Pony Express end?"
"1","Who lives in Greenland?","[]","1.  Who lives in Greenland?"
"2","What happens on April 21?","[]","2.  What happens on April 21?"
"3","When does the sun set and not rise?","[]","3. When does the sun set and not rise?"
"4","Where is ""the land of the midnight sun""?","[]","4. Where is ""the land of the midnight sun""?"
"5","Why does Greenland have strange seasons?","[]","5. Why does Greenland have strange seasons?"
"1","Who has offered to help with the clean-up?","[]","1.  Who has offered to help with the clean-up?"
"2","What animals are in trouble?","[]","2.  What animals are in trouble?"
"3","When should the clean-up take place?","[]","3.  When should the clean-up take place?"
"4","Where is the oil spill?","[]","4.  Where is the oil spill?"
"5","Why must the oil spill be stopped?","[]","5.  Why must the oil spill be stopped?"
"1","Who is writing a book?","[]","1. Who is writing a book?"
"2","What does the book show?","[]","2. What does the book show?"
"3","When did he begin the book?","[]","3. When did he begin the book?"
"4","Where does Noah work?","[]","4. Where does Noah work?"
"5","Why does Noah want to write this book?","[]","5. Why does Noah want to write this book?"
"1","Who made the Livermore light bulb?","[]","1. Who made the Livermore light bulb?"
"2","What is strange about this light?","[]","2. What is strange about this light?"
"3","When was the first light bulb made?","[]","3.  When was the first light bulb made?"
"4","Where is the longest-lasting light bulb?","[]","4.  Where is the longest-lasting light bulb?"
"5","Why doesn't the light bulb burn out?","[]","5. Why doesn't the light bulb burn out?"
"1","Who made the biggest ball in the world?","[]","1. Who made the biggest ball in the world?"
"2","What kind of ball did Johnson make?","[]","2.  What kind of ball did Johnson make?"
"3","When did Farmer Johnson start the ball?","[]","3.  When did Farmer Johnson start the ball?"
"4","Where can the ball be seen?","[]","4.  Where can the ball be seen?"
"5","Why did he move the ball outside?","[]","5.  Why did he move the ball outside?"
"1","Who bought a bridge?","[]","1. Who bought a bridge?"
"2","What is the name of the bridge?","[]","2. What is the name of the bridge?"
"3","When will the job of moving it be done?","[]","3. When will the job of moving it be done?"
"4","Where will the bridge be re-built?","[]","4. Where will the bridge be re-built?"
"5","Why is it hard to move a bridge?","[]","5. Why is it hard to move a bridge?"
"1","Who was supposed to be buried in the tomb?","[]","1. Who was supposed to be buried in the tomb?"
"2","What is a mummy?","[]","2. What is a mummy?"
"3","When did this story happen?","[]","3.  When did this story happen?"
"4","Where was the 10-foot-thick door found?","[]","4.  Where was the 10-foot-thick door found?"
"5","Why was the body gone?","[]","5. Why was the body gone?"
"1","Who was on a visit to his uncle?","[]","1. Who was on a visit to his uncle?"
"2","What did he see out the window?","[]","2. What did he see out the window?"
"3","When did this story happen?","[]","3.  When did this story happen?"
"4","Where is the town now?","[]","4.  Where is the town now?"
"5","Why did the people die?","[]","5. Why did the people die?"
"1","Who wrote the ""Pledge of Allegiance""?","[]","1. Who wrote the ""Pledge of Allegiance""?"
"2","What city was named after Christopher Columbus?","[]","2. What city was named after Christopher Columbus?"
"3","When did Columbus first see a new land?","[]","3. When did Columbus first see a new land?"
"4","Where were flags placed around the country?","[]","4. Where were flags placed around the country?"
"5","Why did Frances Bellamy write the pledge?","[]","5. Why did Frances Bellamy write the pledge?"
"1","Who were the statues carved to show?","[]","1.  Who were the statues carved to show?"
"2","What was about to happen to the statues?","[]","2.  What was about to happen to the statues?"
"3","When did this story happen?","[]","3.  When did this story happen?"
"4","Where is the Nile River?","[]","4.  Where is the Nile River?"
"5","Why are the statues safe now?","[]","5.  Why are the statues safe now?"
"1","Who is Erik?","[]","1.  Who is Erik?"
"2","What kind of animal bones do they think Erik found?","[]","2.  What kind of animal bones do they think Erik found?"
"3","When did the dinosaur live?","[]","3.  When did the dinosaur live?"
"4","Where will the bones and teeth be kept?","[]","4.  Where will the bones and teeth be kept?"
"5","Why might Erik's last name be famous someday?","[]","5.  Why might Erik's last name be famous someday?"
"1","Who thought of a new machine for writing?","[]","1. Who thought of a new machine for writing?"
"2","What is the new machine called?","[]","2. What is the new machine called?"
"3","When did Mr. Sholes make the first one?","[]","3. When did Mr. Sholes make the first one?"
"4","Where did this happen?","[]","4. Where did this happen?"
"5","Why are the letters jumbled?","[]","5. Why are the letters jumbled?"
"1","Who cleaned up the creek?","[]","1.  Who cleaned up the creek?"
"2","What was the name of the creek?","[]","2.  What was the name of the creek?"
"3","When did the work begin?","[]","3.  When did the work begin?"
"4","Where is the bed of a creek?","[]","4.  Where is the bed of a creek?"
"5","Why did the kids make booklets?","[]","5.  Why did the kids make booklets?"
"1","Who is Alex Selkirk?","[]","1. Who is Alex Selkirk?"
"2","What did Alex eat on the island?","[]","2. What did Alex eat on the island?"
"3","When was he rescued?","[]","3.  When was he rescued?"
"4","Where did Alex live on the island?","[]","4.  Where did Alex live on the island?"
"5","Why did Alex stay on the island?","[]","5. Why did Alex stay on the island?"
"1","Who might step foot on Mars by 2010?","[]","1. Who might step foot on Mars by 2010?"
"2","What will the spacecraft shoot at the moons?","[]","2. What will the spacecraft shoot at the moons?"
"3","When is this story taking place?","[]","3. When is this story taking place?"
"4","Where would you see blue sunsets?","[]","4.  Where would you see blue sunsets?"
"5","Why might you see three moons rising in one night on Mars?","[]","5.  Why might you see three moons rising in one night on Mars?"
"1","Who kills Florida panthers on purpose?","[]","1.  Who kills Florida panthers on purpose?"
"2","What is the largest land animal?","[]","2.  What is the largest land animal?"
"3","When will people have to start caring about saving animals?","[]","3.  When will people have to start caring about saving animals?"
"4","Where do the manatees live?","[]","4.  Where do the manatees live?"
"5","Why is the bald eagle in danger?","[]","5.  Why is the bald eagle in danger?"
"1","Who is Christopher Robin?","[]","1. Who is Christopher Robin?"
"2","What did Mr. Robin do when Chris was three years old?","[]","2. What did Mr. Robin do when Chris was three years old?"
"3","When was Winnie the Pooh written?","[]","3.  When was Winnie the Pooh written?"
"4","Where did young Chris live?","[]","4.  Where did young Chris live?"
"5","Why did Chris write two books of his own?","[]","5.  Why did Chris write two books of his own?"
"1","Who fixes the merry-go-round?","[]","1. Who fixes the merry-go-round?"
"2","What is another name for a merry-go-round?","[]","2. What is another name for a merry-go-round?"
"3","When was the first one built in the United States?","[]","3.  When was the first one built in the United States?"
"4","Where was the first one built in the United States?","[]","4.  Where was the first one built in the United States?"
"5","Why do merry-go-rounds need to be fixed?","[]","5. Why do merry-go-rounds need to be fixed?"
"1","Who is the captain of the sailboat?","[]","1.  Who is the captain of the sailboat?"
"2","What is the name of the boat?","[]","2.  What is the name of the boat?"
"3","When did they reach the shore?","[]","3.  When did they reach the shore?"
"4","Where did the trip start?","[]","4.  Where did the trip start?"
"5","Why did they make the trip?","[]","5.  Why did they make the trip?"
"1","Who is the fastest man in the world?","[]","1.  Who is the fastest man in the world?"
"2","What music is played when Jesse wins a gold medal?","[]","2.  What music is played when Jesse wins a gold medal?"
"3","When did he begin to train?","[]","3.  When did he begin to train?"
"4","Where did he win four medals?","[]","4.  Where did he win four medals?"
"5","Why was Jesse's future not bright at one time?","[]","5.  Why was Jesse's future not bright at one time?"
"1","Who swam from the United States to Russia?","[]","1. Who swam from the United States to Russia?"
"2","What did Lynne do to get ready for her swim?","[]","2. What did Lynne do to get ready for her swim?"
"3","When did Lynne make this swim?","[]","3.  When did Lynne make this swim?"
"4","Where did Lynne start her swim?","[]","4.  Where did Lynne start her swim?"
"5","Why did her coach go with her?","[]","5.  Why did her coach go with her?"
"1","Who reached the top of Mount Everest?","[]","1.  Who reached the top of Mount Everest?"
"2","What is another name for a mountain top?","[]","2.	What is another name for a mountain top?"
"3","When did the climbers reach the top?","[]","3.	When did the climbers reach the top?"
"4","Where is Mount Everest?","[]","4.	Where is Mount Everest?"
"5","Why do you think it is so hard to reach the top?","[]","5.	Why do you think it is so hard to reach the top?"
"1","Who had a baby at Sea World?","[]","1. Who had a baby at Sea World?"
"2","What is the baby's name?","[]","2.  What is the baby's name?"
"3","When was the baby born?","[]","3.  When was the baby born?"
"4","Where do these sea animals live?","[]","4.  Where do these sea animals live?"
"5","Why is this baby important?","[]","5. Why is this baby important?"
"1","Who grabbed a rope and went flying?","[]","1.  Who grabbed a rope and went flying?"
"2","What did he go to town to see?","[]","2.  What did he go to town to see?"
"3","When did this happen?","[]","3.  When did this happen?"
"4","Where were the men eating their lunch?","[]","4.  Where were the men eating their lunch?"
"5","Why does a hot air balloon need fire?","[]","5.  Why does a hot air balloon need fire?"
"1","Who live in dens underground?","[]","1.  Who live in dens underground?"
"2","What is another name for them?","[]","2.  What is another name for them?"
"3","When is the day to watch the groundhogs?","[]","3.  When is the day to watch the groundhogs?"
"4","Where are most of the groundhog homes found?","[]","4.  Where are most of the groundhog homes found?"
"5","Why do people watch these animals one day of the year?","[]","5.  Why do people watch these animals one day of the year?"
"1","Who helped the Pilgrims?","[]","1. Who helped the Pilgrims?"
"2","What did they eat on the first day of thanks?","[]","2. What did they eat on the first day of thanks?"
"3","When was the first day of thanks held?","[]","3.  When was the first day of thanks held?"
"4","Where did the Pilgrims live before coming to America?","[]","4.  Where did the Pilgrims live before coming to America?"
"5","Why were the Pilgrims sad?","[]","5. Why were the Pilgrims sad?"
"1","Who can see the northern lights?","[]","1. Who can see the northern lights?"
"2","What causes these lights?","[]","2. What causes these lights?"
"3","When can they be seen?","[]","3. When can they be seen?"
"4","Where are the northern lights?","[]","4.  Where are the northern lights?"
"5","Why is March 21 a special day?","[]","5.  Why is March 21 a special day?"
"1","Who left Joplin on October 26, 1861?","[]","1. Who left Joplin on October 26, 1861?"
"2","What did the Pony Express riders do?","[]","2. What did the Pony Express riders do?"
"3","When did the Pony Express start?","[]","3.  When did the Pony Express start?"
"4","Where did the riders stop for a rest?","[]","4.  Where did the riders stop for a rest?"
"5","Why did the Pony Express end?","[]","5.  Why did the Pony Express end?"
"1","Who lives in Greenland?","[]","1.  Who lives in Greenland?"
"2","What happens on April 21?","[]","2.  What happens on April 21?"
"3","When does the sun set and not rise?","[]","3. When does the sun set and not rise?"
"4","Where is ""the land of the midnight sun""?","[]","4. Where is ""the land of the midnight sun""?"
"5","Why does Greenland have strange seasons?","[]","5. Why does Greenland have strange seasons?"
"1","Who has offered to help with the clean-up?","[]","1.  Who has offered to help with the clean-up?"
"2","What animals are in trouble?","[]","2.  What animals are in trouble?"
"3","When should the clean-up take place?","[]","3.  When should the clean-up take place?"
"4","Where is the oil spill?","[]","4.  Where is the oil spill?"
"5","Why must the oil spill be stopped?","[]","5.  Why must the oil spill be stopped?"
"1","Who is writing a book?","[]","1. Who is writing a book?"
"2","What does the book show?","[]","2. What does the book show?"
"3","When did he begin the book?","[]","3. When did he begin the book?"
"4","Where does Noah work?","[]","4. Where does Noah work?"
"5","Why does Noah want to write this book?","[]","5. Why does Noah want to write this book?"
"1","Who made the Livermore light bulb?","[]","1. Who made the Livermore light bulb?"
"2","What is strange about this light?","[]","2. What is strange about this light?"
"3","When was the first light bulb made?","[]","3.  When was the first light bulb made?"
"4","Where is the longest-lasting light bulb?","[]","4.  Where is the longest-lasting light bulb?"
"5","Why doesn't the light bulb burn out?","[]","5. Why doesn't the light bulb burn out?"
"1","Who made the biggest ball in the world?","[]","1. Who made the biggest ball in the world?"
"2","What kind of ball did Johnson make?","[]","2.  What kind of ball did Johnson make?"
"3","When did Farmer Johnson start the ball?","[]","3.  When did Farmer Johnson start the ball?"
"4","Where can the ball be seen?","[]","4.  Where can the ball be seen?"
"5","Why did he move the ball outside?","[]","5.  Why did he move the ball outside?"
"1","Who bought a bridge?","[]","1. Who bought a bridge?"
"2","What is the name of the bridge?","[]","2. What is the name of the bridge?"
"3","When will the job of moving it be done?","[]","3. When will the job of moving it be done?"
"4","Where will the bridge be re-built?","[]","4. Where will the bridge be re-built?"
"5","Why is it hard to move a bridge?","[]","5. Why is it hard to move a bridge?"
"1","Who was supposed to be buried in the tomb?","[]","1. Who was supposed to be buried in the tomb?"
"2","What is a mummy?","[]","2. What is a mummy?"
"3","When did this story happen?","[]","3.  When did this story happen?"
"4","Where was the 10-foot-thick door found?","[]","4.  Where was the 10-foot-thick door found?"
"5","Why was the body gone?","[]","5. Why was the body gone?"
"1","Who was on a visit to his uncle?","[]","1. Who was on a visit to his uncle?"
"2","What did he see out the window?","[]","2. What did he see out the window?"
"3","When did this story happen?","[]","3.  When did this story happen?"
"4","Where is the town now?","[]","4.  Where is the town now?"
"5","Why did the people die?","[]","5. Why did the people die?"
"1","Who wrote the ""Pledge of Allegiance""?","[]","1. Who wrote the ""Pledge of Allegiance""?"
"2","What city was named after Christopher Columbus?","[]","2. What city was named after Christopher Columbus?"
"3","When did Columbus first see a new land?","[]","3. When did Columbus first see a new land?"
"4","Where were flags placed around the country?","[]","4. Where were flags placed around the country?"
"5","Why did Frances Bellamy write the pledge?","[]","5. Why did Frances Bellamy write the pledge?"
"1","Who were the statues carved to show?","[]","1.  Who were the statues carved to show?"
"2","What was about to happen to the statues?","[]","2.  What was about to happen to the statues?"
"3","When did this story happen?","[]","3.  When did this story happen?"
"4","Where is the Nile River?","[]","4.  Where is the Nile River?"
"5","Why are the statues safe now?","[]","5.  Why are the statues safe now?"
"1","Who is Erik?","[]","1.  Who is Erik?"
"2","What kind of animal bones do they think Erik found?","[]","2.  What kind of animal bones do they think Erik found?"
"3","When did the dinosaur live?","[]","3.  When did the dinosaur live?"
"4","Where will the bones and teeth be kept?","[]","4.  Where will the bones and teeth be kept?"
"5","Why might Erik's last name be famous someday?","[]","5.  Why might Erik's last name be famous someday?"
"1","Who thought of a new machine for writing?","[]","1. Who thought of a new machine for writing?"
"2","What is the new machine called?","[]","2. What is the new machine called?"
"3","When did Mr. Sholes make the first one?","[]","3. When did Mr. Sholes make the first one?"
"4","Where did this happen?","[]","4. Where did this happen?"
"5","Why are the letters jumbled?","[]","5. Why are the letters jumbled?"
"1","Who cleaned up the creek?","[]","1.  Who cleaned up the creek?"
"2","What was the name of the creek?","[]","2.  What was the name of the creek?"
"3","When did the work begin?","[]","3.  When did the work begin?"
"4","Where is the bed of a creek?","[]","4.  Where is the bed of a creek?"
"5","Why did the kids make booklets?","[]","5.  Why did the kids make booklets?"
"1","Who is Alex Selkirk?","[]","1. Who is Alex Selkirk?"
"2","What did Alex eat on the island?","[]","2. What did Alex eat on the island?"
"3","When was he rescued?","[]","3.  When was he rescued?"
"4","Where did Alex live on the island?","[]","4.  Where did Alex live on the island?"
"5","Why did Alex stay on the island?","[]","5. Why did Alex stay on the island?"
"1","Who might step foot on Mars by 2010?","[]","1. Who might step foot on Mars by 2010?"
"2","What will the spacecraft shoot at the moons?","[]","2. What will the spacecraft shoot at the moons?"
"3","When is this story taking place?","[]","3. When is this story taking place?"
"4","Where would you see blue sunsets?","[]","4.  Where would you see blue sunsets?"
"5","Why might you see three moons rising in one night on Mars?","[]","5.  Why might you see three moons rising in one night on Mars?"
"1","Who kills Florida panthers on purpose?","[]","1.  Who kills Florida panthers on purpose?"
"2","What is the largest land animal?","[]","2.  What is the largest land animal?"
"3","When will people have to start caring about saving animals?","[]","3.  When will people have to start caring about saving animals?"
"4","Where do the manatees live?","[]","4.  Where do the manatees live?"
"5","Why is the bald eagle in danger?","[]","5.  Why is the bald eagle in danger?"
"1","Who cut the ribbon?","['<COREF ID=""34"" REF=""19""><MARKABLE>', '</MARKABLE></COREF>']","1.  Who cut the <COREF ID=""34"" REF=""19""><MARKABLE>ribbon</MARKABLE></COREF>?"
"2","What is the name of the building?","['<MARKABLE>name</MARKABLE>', '<COREF ID=""11"" REF=""1""><MARKABLE>', '</MARKABLE></COREF>']","2.  What is the <MARKABLE>name</MARKABLE> of the <COREF ID=""11"" REF=""1""><MARKABLE>building</MARKABLE></COREF>?"
"3","When was the ribbon cut?","['<COREF ID=""35"" REF=""19""><MARKABLE>', '</MARKABLE></COREF>']","3.  When was the <COREF ID=""35"" REF=""19""><MARKABLE>ribbon</MARKABLE></COREF> cut?"
"4","Where is the building?","['<COREF ID=""12"" REF=""1""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where is the <COREF ID=""12"" REF=""1""><MARKABLE>building</MARKABLE></COREF>?"
"5","Why do you think people cannot see the top  of the building on some days?","['<MARKABLE>you</MARKABLE>', '<MARKABLE>people</MARKABLE>', '<COREF ID=""33"" REF=""31""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""13"" REF=""1""><MARKABLE>', '</MARKABLE></COREF>', '<MARKABLE>days</MARKABLE>']","5. Why do <MARKABLE>you</MARKABLE> think <MARKABLE>people</MARKABLE> cannot see the <COREF ID=""33"" REF=""31""><MARKABLE>top</MARKABLE></COREF>  of the <COREF ID=""13"" REF=""1""><MARKABLE>building</MARKABLE></COREF> on some <MARKABLE>days</MARKABLE>?"
"1","Who had the first TV show in color?","['<COREF ID=""202"" REF=""188""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""223"" REF=""211""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""233"" REF=""229""><MARKABLE>', '</MARKABLE></COREF>']","1.  Who had the first <COREF ID=""202"" REF=""188""><MARKABLE>TV</MARKABLE></COREF> <COREF ID=""223"" REF=""211""><MARKABLE>show</MARKABLE></COREF> in <COREF ID=""233"" REF=""229""><MARKABLE>color</MARKABLE></COREF>?"
"2","What was the first program shown on television in 1939?","['<COREF ID=""221"" REF=""206""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""222"" REF=""188""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""220"" REF=""219""><MARKABLE>', '</MARKABLE></COREF>']","2.  What was the first <COREF ID=""221"" REF=""206""><MARKABLE>program</MARKABLE></COREF> shown on <COREF ID=""222"" REF=""188""><MARKABLE>television</MARKABLE></COREF> in <COREF ID=""220"" REF=""219""><MARKABLE>1939</MARKABLE></COREF>?"
"3","When did TV sets become more common?","['<MARKABLE>TV</MARKABLE>', '<COREF ID=""192"" REF=""188""><MARKABLE>', '</MARKABLE></COREF>']","3.  When did <MARKABLE>TV</MARKABLE> <COREF ID=""192"" REF=""188""><MARKABLE>sets</MARKABLE></COREF> become more common?"
"4","Where were TV's hooked up?","['<COREF ID=""203"" REF=""188""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where were <COREF ID=""203"" REF=""188""><MARKABLE>TV</MARKABLE></COREF>'s hooked up?"
"5","Why are tiny dots important?","['<COREF ID=""224"" REF=""216""><MARKABLE>', '</MARKABLE></COREF>']","5. Why are tiny <COREF ID=""224"" REF=""216""><MARKABLE>dots</MARKABLE></COREF> important?"
"1","Who does not live in this new home?","['<COREF ID=""10"" REF=""1""><MARKABLE>', '</MARKABLE></COREF>']","1.  Who does not live in this new <COREF ID=""10"" REF=""1""><MARKABLE>home</MARKABLE></COREF>?"
"2","What is kept in the new home?","['<COREF ID=""11"" REF=""1""><MARKABLE>', '</MARKABLE></COREF>']","2.  What is kept in the new <COREF ID=""11"" REF=""1""><MARKABLE>home</MARKABLE></COREF>?"
"3","When does this story take place?","['<MARKABLE>story</MARKABLE>']","3.  When does this <MARKABLE>story</MARKABLE> take place?"
"4","Where is the new home for gold?","['<COREF ID=""12"" REF=""1""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""30"" REF=""18""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where is the new <COREF ID=""12"" REF=""1""><MARKABLE>home</MARKABLE></COREF> for <COREF ID=""30"" REF=""18""><MARKABLE>gold</MARKABLE></COREF>?"
"5","Why do we need gold?","['<COREF ID=""31"" REF=""18""><MARKABLE>', '</MARKABLE></COREF>']","5. Why do we need <COREF ID=""31"" REF=""18""><MARKABLE>gold</MARKABLE></COREF>?"
"1","Who are the presidents being honored?","['<COREF ID=""4"" REF=""1""><MARKABLE>', '</MARKABLE></COREF>']","1.  Who are the <COREF ID=""4"" REF=""1""><MARKABLE>presidents</MARKABLE></COREF> being honored?"
"2","What is the name of the mountain?","['<MARKABLE>name</MARKABLE>', '<COREF ID=""8"" REF=""5""><MARKABLE>', '</MARKABLE></COREF>']","2.  What is the <MARKABLE>name</MARKABLE> of the <COREF ID=""8"" REF=""5""><MARKABLE>mountain</MARKABLE></COREF>?"
"3","When did Lincoln free the slaves?","['<COREF ID=""23"" REF=""21""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""25"" REF=""24""><MARKABLE>', '</MARKABLE></COREF>']","3.  When did <COREF ID=""23"" REF=""21""><MARKABLE>Lincoln</MARKABLE></COREF> free the <COREF ID=""25"" REF=""24""><MARKABLE>slaves</MARKABLE></COREF>?"
"4","Where is Mt.  Rushmore?","['<COREF ID=""18"" REF=""5""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where is <COREF ID=""18"" REF=""5""><MARKABLE>Mt.  Rushmore</MARKABLE></COREF>?"
"5","Why is Roosevelt well-known?","['<COREF ID=""43"" REF=""30""><MARKABLE>', '</MARKABLE></COREF>']","5.  Why is <COREF ID=""43"" REF=""30""><MARKABLE>Roosevelt</MARKABLE></COREF> well-known?"
"1","Who takes the census?","['<COREF ID=""58"" REF=""51""><MARKABLE>', '</MARKABLE></COREF>']","1.  Who takes the <COREF ID=""58"" REF=""51""><MARKABLE>census</MARKABLE></COREF>?"
"2","What is a census?","['<COREF ID=""59"" REF=""51""><MARKABLE>', '</MARKABLE></COREF>']","2.  What is a <COREF ID=""59"" REF=""51""><MARKABLE>census</MARKABLE></COREF>?"
"3","When is the census taken?","['<COREF ID=""60"" REF=""51""><MARKABLE>', '</MARKABLE></COREF>']","3.  When is the <COREF ID=""60"" REF=""51""><MARKABLE>census</MARKABLE></COREF> taken?"
"4","Where do the census-takers go?","['<COREF ID=""92"" REF=""77""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where do the <COREF ID=""92"" REF=""77""><MARKABLE>census-takers</MARKABLE></COREF> go?"
"5","Why is a census important?","['<COREF ID=""93"" REF=""51""><MARKABLE>', '</MARKABLE></COREF>']","5.  Why is a <COREF ID=""93"" REF=""51""><MARKABLE>census</MARKABLE></COREF> important?"
"1","Who are the men in space?","['<COREF ID=""43"" REF=""32""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""31"" REF=""25""><MARKABLE>', '</MARKABLE></COREF>']","1. Who are the <COREF ID=""43"" REF=""32""><MARKABLE>men</MARKABLE></COREF> in <COREF ID=""31"" REF=""25""><MARKABLE>space</MARKABLE></COREF>?"
"2","What are they traveling in?","['<COREF ID=""44"" REF=""32""><MARKABLE>', '</MARKABLE></COREF>']","2.  What are <COREF ID=""44"" REF=""32""><MARKABLE>they</MARKABLE></COREF> traveling in?"
"3","When will they return to Earth?","['<COREF ID=""45"" REF=""32""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""51"" REF=""49""><MARKABLE>', '</MARKABLE></COREF>']","3.  When will <COREF ID=""45"" REF=""32""><MARKABLE>they</MARKABLE></COREF> return to <COREF ID=""51"" REF=""49""><MARKABLE>Earth</MARKABLE></COREF>?"
"4","Where are they traveling?","['<COREF ID=""46"" REF=""32""><MARKABLE>', '</MARKABLE></COREF>']","4. Where are <COREF ID=""46"" REF=""32""><MARKABLE>they</MARKABLE></COREF> traveling?"
"5","Why is the shuttle better than other spaceships?","['<COREF ID=""53"" REF=""8""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""52"" REF=""47""><MARKABLE>', '</MARKABLE></COREF>']","5. Why is the <COREF ID=""53"" REF=""8""><MARKABLE>shuttle</MARKABLE></COREF> better than other <COREF ID=""52"" REF=""47""><MARKABLE>spaceships</MARKABLE></COREF>?"
"1","Who was Buddy?","['<COREF ID=""114"" REF=""94""><MARKABLE>', '</MARKABLE></COREF>']","1.  Who was <COREF ID=""114"" REF=""94""><MARKABLE>Buddy</MARKABLE></COREF>?"
"2","What kind of dog was Buddy?","['<MARKABLE>kind</MARKABLE>', '<MARKABLE>dog</MARKABLE>', '<COREF ID=""115"" REF=""94""><MARKABLE>', '</MARKABLE></COREF>']","2.  What <MARKABLE>kind</MARKABLE> of <MARKABLE>dog</MARKABLE> was <COREF ID=""115"" REF=""94""><MARKABLE>Buddy</MARKABLE></COREF>?"
"3","When was the Seeing Eye School started?","['<COREF ID=""72"" REF=""64""><MARKABLE>', '</MARKABLE></COREF>']","3.  When was the <COREF ID=""72"" REF=""64""><MARKABLE>Seeing Eye School</MARKABLE></COREF> started?"
"4","Where was Buddy born?","['<COREF ID=""116"" REF=""94""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where was <COREF ID=""116"" REF=""94""><MARKABLE>Buddy</MARKABLE></COREF> born?"
"5","Why is a seeing eye dog a faithful friend?","['<COREF ID=""90"" REF=""75""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""88"" REF=""75""><MARKABLE>', '</MARKABLE></COREF>']","5.  Why is a <COREF ID=""90"" REF=""75""><MARKABLE>seeing eye dog</MARKABLE></COREF> a faithful <COREF ID=""88"" REF=""75""><MARKABLE>friend</MARKABLE></COREF>?"
"1","Who can hear whooping cranes?","['<COREF ID=""142"" REF=""121""><MARKABLE>', '</MARKABLE></COREF>']","1. Who can hear <COREF ID=""142"" REF=""121""><MARKABLE>whooping cranes</MARKABLE></COREF>?"
"2","What was found that was special?","[]","2. What was found that was special?"
"3","When was the last nest seen?","['<COREF ID=""209"">last <MARKABLE>', '</MARKABLE></COREF>']","3.  When was the <COREF ID=""209"">last <MARKABLE>nest</MARKABLE></COREF> seen?"
"4","Where were the nests found?","['<COREF ID=""149"" REF=""144""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where were the <COREF ID=""149"" REF=""144""><MARKABLE>nests</MARKABLE></COREF> found?"
"5","Why is it hard to find whooping cranes?","['<COREF ID=""143"" REF=""121""><MARKABLE>', '</MARKABLE></COREF>']","5.  Why is it hard to find <COREF ID=""143"" REF=""121""><MARKABLE>whooping cranes</MARKABLE></COREF>?"
"1","Who found something strange?","['<COREF ID=""44"" REF=""31""><MARKABLE>', '</MARKABLE></COREF>']","1.  Who found <COREF ID=""44"" REF=""31""><MARKABLE>something</MARKABLE></COREF> strange?"
"2","What did they find?","['<COREF ID=""27"" REF=""12""><MARKABLE>', '</MARKABLE></COREF>']","2.  What did <COREF ID=""27"" REF=""12""><MARKABLE>they</MARKABLE></COREF> find?"
"3","When did they find the island?","['<COREF ID=""28"" REF=""12""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""9"" REF=""5""><MARKABLE>', '</MARKABLE></COREF>']","3.  When did <COREF ID=""28"" REF=""12""><MARKABLE>they</MARKABLE></COREF> find the <COREF ID=""9"" REF=""5""><MARKABLE>island</MARKABLE></COREF>?"
"4","Where is this island?","['<COREF ID=""29"" REF=""5""><MARKABLE>', '</MARKABLE></COREF>']","4.  Where is this <COREF ID=""29"" REF=""5""><MARKABLE>island</MARKABLE></COREF>?"
"5","Why are the statues there?","['<COREF ID=""45"" REF=""31""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""30"" REF=""5""><MARKABLE>', '</MARKABLE></COREF>']","5. Why are the <COREF ID=""45"" REF=""31""><MARKABLE>statues</MARKABLE></COREF> <COREF ID=""30"" REF=""5""><MARKABLE>there</MARKABLE></COREF>?"
"1","Who was the first man to walk on the moon?","['<COREF ID=""55"" REF=""46""><MARKABLE>', '</MARKABLE></COREF>', '<COREF ID=""64"" REF=""57""><MARKABLE>', '</MARKABLE></COREF>']","1.  Who was the first <COREF ID=""55"" REF=""46""><MARKABLE>man</MARKABLE></COREF> to walk on the <COREF ID=""64"" REF=""57""><MARKABLE>moon</MARKABLE></COREF>?"
